Ilha 6;Ilha 12;Ilha 18;Ilha 24
230;243;304;277
225;239;292;277
225;253;300;267
221;241;297;272
229;241;296;280
226;247;298;273
226;239;290;267
222;237;296;277
238;234;295;273
242;240;298;279
237;234;292;270
225;231;302;280
233;234;291;273
240;236;298;279
228;242;299;276
228;243;301;272
228;237;290;274
240;235;294;270
226;231;299;282
225;233;294;278
223;234;298;275
226;237;295;270
238;245;291;283
225;234;299;277
235;239;289;281
231;239;284;282
234;235;302;291
222;237;296;304
226;238;299;323
228;238;293;285
