Regular GA;Adaptative GA
11399.389;14747.591
12454.291;13893.75
10455.665;13850.527
12817.441;13942.142
12835.194;14712.803
12467.671;14132.679
13583.031;13404.479
12853.492;14309.818
13156.475;13108.594
1294.396;14919.451
12959.074;13985.448
1313.418;13974.998
13032.743;12907.154
7665.069;13662.84
12786.033;13121.404
12672.856;14501.386
13027.244;14027.965
12996.027;14233.428
13054.484;14407.134
13229.357;13048.876
12135.721;13363.045
13107.294;13936.422
13069.347;13762.591
