PhaserPop1000;ForkJoinPop1000;Island24Pop1000;PhaserPop500;ForkJoinPop500;Island24Pop500
358;302;277;207;150;134
312;286;277;196;148;138
330;295;267;208;140;134
314;275;272;224;142;138
316;308;280;206;154;133
332;270;273;201;148;136
309;279;267;203;146;131
308;294;277;269;145;132
333;286;273;206;149;134
311;268;279;200;145;134
313;297;270;211;149;133
296;286;280;207;149;134
347;295;273;197;150;132
347;279;279;202;138;132
338;286;276;202;141;135
324;285;272;205;144;137
313;285;274;205;146;133
356;277;270;198;147;134
360;280;282;215;139;134
316;292;278;225;152;136
322;314;275;201;141;133
315;281;270;198;139;135
299;299;283;209;156;133
352;288;277;210;156;137
352;267;281;205;144;134
312;286;282;198;153;136
309;277;291;201;150;136
368;295;304;192;138;132
317;273;323;224;140;138
320;271;285;197;144;136
